Văn bản,tình trạng,loại bản ghi,Sơ cứu tại nhà (dành cho mèo),Giống loài,Sơ cứu tại nhà,,,,,,,,,,
Bệnh nhân có thể phải phẫu thuật cắt bỏ toàn bộ ống tai và cắt xương bulla (TECA-BO) do viêm tai giữa giai đoạn cuối.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Bụng của chú chó nhà tôi sôi ầm ầm và nó cứ liếm không khí.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Chó,Ngừng cho ăn trong 12 giờ; cung cấp lượng nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng vẫn tiếp diễn.,,,,,,,,,,
Chó bị tiêu chảy trông giống mứt mâm xôi.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Chó,Ngừng cho ăn trong 12 giờ; cung cấp lượng nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng vẫn tiếp diễn.,,,,,,,,,,
Tai trái của thỏ nhà tôi cụp thấp hơn tai phải.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
"Mèo bệnh có biểu hiện viêm da kê; loại trừ FAD, dị ứng thức ăn, dị ứng.",Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi liên tục gãi và tôi thấy những con bọ nhỏ màu nâu bò trên người nó.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Nhấn mạnh việc hoàn thành toàn bộ liệu trình dùng thuốc.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Khuyến cáo vệ sinh chuồng trại cẩn thận và lót chuồng phù hợp cho thỏ để phòng bệnh giun chỉ.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
"Chó bị viêm da dị ứng do bọ chét, phản ứng nghiêm trọng với nước bọt của bọ chét.",Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Chó có những cục u nhỏ, nổi lên và không có lông trên cơ thể.",Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
Viêm tai của chó tôi tái phát ngay sau khi ngừng dùng thuốc.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Rụng tóc đối xứng không viêm ở hai bên sườn; loại trừ tình trạng nội tiết (suy giáp, cường vỏ thượng thận, mất cân bằng hormone sinh dục).",Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi bị ghẻ và bây giờ cả gia đình tôi đều bị ngứa.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Mèo bị rụng lông phía trên mắt.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Loại bỏ ve Dermacentor andersoni. Thảo luận về nguy cơ mắc RMSF/bệnh Tularemia/bệnh tê liệt do ve.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con mèo đang chải chuốt một điểm cụ thể trên chân cho đến khi chân nó trụi hết.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi không còn nhấc chân cao khi đi bộ nữa.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Thỏ của tôi bị bong tróc da và có vẻ rất ngứa, đặc biệt là ở lưng.",Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Bụng của chuột lang căng cứng và chướng lên.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con lợn,"Giữ lợn ở nơi thoáng mát, sạch sẽ; khuyến khích lợn uống nước; liên hệ với bác sĩ thú y nếu tình trạng không cải thiện.",,,,,,,,,,
"U mô bào được quan sát thấy ở chân chó con; thường lành tính, theo dõi để phát hiện sự thoái triển.",Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
Chó bị đỏ và nổi mụn ở vùng bẹn.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
"Chó cắn vào phần sau, gần đuôi.",Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
"Thỏ chải lông bụng quá mức, để lộ phần da trần.",Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Nghi ngờ nhiễm giun phổi (ví dụ: Aelurostrongylus abstrusus ở mèo) dựa trên các dấu hiệu về hô hấp; khuyến nghị phân tích phân Baermann.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Kê đơn thuốc chống tiêu chảy (kaolin-pectin) để giảm triệu chứng.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Thỏ của tôi bị áp xe gần tai.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Ngứa và ban đỏ ở tai; cần điều trị tại chỗ.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chuột lang của tôi bị rụng lông và có vết loét đóng vảy.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con lợn,"Giữ lợn ở nơi thoáng mát, sạch sẽ; khuyến khích lợn uống nước; liên hệ với bác sĩ thú y nếu tình trạng không cải thiện.",,,,,,,,,,
Mèo con bị rụng lông ở chân.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Lực đẩy xương chày có thể cảm nhận rõ ràng khi đi lại.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Kê đơn nghỉ ngơi trong lồng nghiêm ngặt (4-6 tuần) và thuốc giãn cơ (methocarbamol) cho trường hợp nghi ngờ thuyên tắc xơ sụn (FCE).,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Khuyến cáo nên áp dụng chế độ ăn ít chất béo, dễ tiêu hóa theo chỉ định trong quá trình phục hồi sau viêm tụy.",Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Tiến hành kiểm tra răng miệng kỹ lưỡng để loại trừ áp xe chóp hoặc lỗ rò miệng mũi góp phần gây ra các dấu hiệu này.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Đảm bảo thuốc được bảo quản và xử lý đúng cách.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Da con chồn sương của tôi có vẻ hơi vàng.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Hướng dẫn chủ sở hữu về các dấu hiệu mất nước.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Kiểm tra lại xét nghiệm phân sau khi tẩy giun.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Mèo nhà tôi thường xuyên nôn ọe mà không nói gì.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Chó của tôi thường xuyên dồn ít trọng lượng hơn vào chân sau bên trái.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Chồn sương đi rất cứng nhắc, đặc biệt là ở phần sau.",Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Điều trị ve tai bằng thuốc diệt ve thích hợp (dùng ngoài da hoặc toàn thân). Điều trị cho tất cả các động vật tiếp xúc.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Nhiễm trùng tai mãn tính; loại trừ suy giáp.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con chồn sương đang gặp khó khăn khi leo trèo.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Kê đơn thuốc metronidazole và khuyến cáo bổ sung chất xơ (bí ngô) vào chế độ ăn uống cho bệnh viêm đại tràng.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Xét nghiệm tế bào tai để xác định ve và kiểm tra nhiễm trùng thứ phát.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chuột lang có những con chấy trắng nhỏ nhìn thấy được trên lông.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con lợn,"Giữ lợn ở nơi thoáng mát, sạch sẽ; khuyến khích lợn uống nước; liên hệ với bác sĩ thú y nếu tình trạng không cải thiện.",,,,,,,,,,
Nên giới thiệu đến bác sĩ thú y da liễu để điều tra dị ứng toàn diện.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Thỏ của tôi bị lở loét ở gót chân.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Cách ly những con vật bị Sarcoptes hoặc ký sinh trùng dễ lây lan khỏi các vật nuôi khác.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Điều trị nhiễm trùng tai bằng selamectin tại chỗ (Revolution) hoặc moxidectin/imidacloprid (Advantage Multi). Vệ sinh tai trước.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Mèo nhà tôi có ráy tai sẫm màu, nhưng bác sĩ thú y nói rằng đó không phải là ve.",Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Loại trừ bệnh ghẻ dựa trên tình trạng ngứa dữ dội và sự phân bố tổn thương.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Con mèo đang gãi mặt, gây ra những vết cắt nhỏ gần mắt.",Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Sáng nay chó nhà tôi nôn ra mật và không muốn ăn sáng.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Chó,Ngừng cho ăn trong 12 giờ; cung cấp lượng nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng vẫn tiếp diễn.,,,,,,,,,,
Chó bị tiêu chảy và có mùi hôi thối đặc biệt.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Chó,Ngừng cho ăn trong 12 giờ; cung cấp lượng nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng vẫn tiếp diễn.,,,,,,,,,,
Mèo con của tôi có những vòng tròn giống như bệnh hắc lào xuất hiện trên mặt.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi lắc đầu sau khi thức dậy.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Đang chờ kết quả nuôi cấy phân; bắt đầu chăm sóc hỗ trợ.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Chó đi loạng choạng và thường xuyên bị ngã.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Có vảy và mẩn đỏ ở lưng; nên tắm thuốc.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Điều trị cho tất cả các loài động vật tiếp xúc với bệnh nhân ghẻ Sarcoptic.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Con mèo kêu và giật mình khi tôi cố nhìn vào tai nó, bên trong tai nó có màu đen.",Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Thỏ bị viêm tai ngoài đóng vảy nghiêm trọng do nhiễm Psoroptes cuniculi.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Rụng tóc do tâm lý được chẩn đoán ở mèo; thảo luận về việc thay đổi hành vi và dùng thuốc.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó liên tục lắc đầu và gãi tai đến trầy xước.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
"Chó của tôi bị ngứa dữ dội và có những mảng da trần, ngứa hơn vào ban đêm.",Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Đã thực hiện chọc dịch ổ bụng; đang chờ phân tích dịch.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Bệnh viêm tai của chó tôi có vẻ nặng hơn khi thời tiết ẩm ướt.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Thỏ có vấn đề về thần kinh (nghiêng đầu, yếu) do vi khuẩn E. cuniculi.",Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
"Mèo của tôi nôn thức ăn (chưa tiêu hóa, hình ống) ngay sau khi ăn.",Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Chim hoàng yến của tôi có vảy cứng ở chân và bàn chân.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
